,HMI_214_DL,振动风选_1#振动X,振动风选_1#振动Y,振动风选_1#振动Z,振动风选_2#振动X,振动风选_2#振动Y,振动风选_2#振动Z,振动风选_3#振动X,振动风选_3#振动Y,振动风选_3#振动Z,振动风选_4#振动X,振动风选_4#振动Y,振动风选_4#振动Z,振动风选_5#振动X,振动风选_5#振动Y,振动风选_5#振动Z
47,14.46,-4.4306,,,,,,,,,,,,,,
48,14.43,-4.2389,-4.4288,-4.4433,-3.7181,-4.4776,-4.7742,-6.5338,-7.4815,-7.5665,-4.644,-3.9459,-3.6837,-1.6365,-4.0581,-2.7234
49,14.43,-4.6693,-4.9876,-5.0943,-4.3058,-5.1902,-5.4849,-7.7021,-8.7926,-8.6389,-4.9171,-4.0834,-3.8465,-3.9116,31.6298,-4.6983
50,14.43,-4.6928,,,,,,,,,,,,,,
51,14.43,-4.6856,,,,,,,,,,,,,,
52,14.43,-4.6874,-5.0889,-5.1811,-4.3402,-5.2245,-5.5772,-7.6171,-9.0403,-8.4363,-5.4307,-4.2009,-4.0725,-4.4523,50.0,-5.9768
53,14.43,-4.8068,-5.125,-5.2914,-4.4577,-5.3873,-5.7255,-8.1253,-9.1579,-10.3044,-4.0382,-4.1214,-3.3763,-3.3365,44.3775,-3.3962
54,14.43,-4.7887,-5.1847,-5.2372,-4.2588,-5.0599,-5.4252,-7.4417,-8.7492,-8.8595,-5.1305,-4.1394,-3.8049,-5.1015,40.1675,-6.1034
55,14.43,-4.6331,-4.8791,-5.0455,-4.1847,-4.9985,-5.3185,-7.2681,-8.4435,-8.6316,-5.0654,-4.1177,-3.9785,-3.6819,24.311,-4.7977
56,14.33,-4.7181,,,,,,,,,,,,,,
57,14.33,-4.6747,-5.0473,-5.0889,-4.3474,-5.2354,-5.4994,-7.5936,-8.8107,-7.8395,-5.8068,-4.1865,-4.313,-3.5861,42.2092,-5.541
58,14.33,-4.8031,-5.1033,-5.2462,-4.4378,-5.3384,-5.6694,-8.1162,-9.0964,-10.8036,-3.4956,-4.0056,-2.9676,-6.532,50.0,-5.7001
59,14.33,-4.8303,,,,,,,,,,,,,,
60,14.33,-4.8393,-5.0364,-5.2444,-4.436,-5.3421,-5.6893,-8.2808,-9.1308,-11.404,-3.0435,-3.9911,-2.7108,-6.7743,50.0,-5.6133
61,14.33,-4.899,,,,,,,,,,,,,,
62,14.33,-4.9008,-5.1142,-5.277,-4.4559,-5.3529,-5.7019,-8.1922,-9.1145,-10.9953,-3.4703,-4.0436,-3.1159,-5.1124,50.0,-4.2064
63,14.33,-4.8303,-5.1015,-5.248,-4.427,-5.3167,-5.682,-8.0421,-9.1398,-10.5612,-3.6964,-4.0291,-3.1719,-4.7543,,-4.3908
64,14.4,-4.5011,-4.8158,-4.8031,-4.0761,-4.9985,-5.2299,-7.1505,-8.3061,-8.0149,-5.2968,-4.0906,-4.1105,-2.9133,13.5055,-4.2299
65,14.4,-4.8158,-5.1015,-5.2878,-4.4415,-5.3511,-5.6911,-8.2446,-9.1543,-11.1689,-3.2207,-4.011,-2.8826,-5.4234,,-4.3275
66,14.4,-4.5554,-4.9062,-5.0401,-4.257,-5.1956,-5.5102,-7.6424,-8.8667,-8.2826,-5.2064,-4.1286,-4.1756,-3.7018,17.249,-5.0473
67,14.4,-4.7832,-5.1052,-5.2516,-4.4143,-5.3258,-5.6386,-8.241,-9.0657,-10.8922,-3.3618,-3.9604,-3.0291,-6.4723,,-5.4849
68,14.4,-4.9008,-5.1449,-5.2715,-4.4451,-5.3059,-5.6386,-8.0692,-9.0241,-10.2014,-4.1413,-4.1087,-3.2913,-4.8936,45.8351,-4.7634
69,14.4,-4.7326,,,,,,,,,,,,,,
70,14.4,-4.8972,-5.1269,-5.286,-4.4433,-5.3728,-5.6857,-8.2464,-9.1036,-10.7728,-3.7199,-4.049,-3.0381,-5.1431,,-4.7127
71,14.4,-4.7525,-5.1341,-5.1558,-4.3492,-5.2607,-5.6296,-7.6406,-9.1018,-8.9608,-5.0654,-4.2118,-4.2064,-4.9551,49.6908,-6.1649
