,HMI_214_DL,振动风选_1#振动X,振动风选_1#振动Y,振动风选_1#振动Z,振动风选_2#振动X,振动风选_2#振动Y,振动风选_2#振动Z,振动风选_3#振动X,振动风选_3#振动Y,振动风选_3#振动Z,振动风选_4#振动X,振动风选_4#振动Y,振动风选_4#振动Z,振动风选_5#振动X,振动风选_5#振动Y,振动风选_5#振动Z
0,40.44,-4.767,-5.0834,-5.2173,-4.3999,-5.2932,-5.6224,-8.1397,-9.0277,-11.2032,-3.0942,-3.9333,-2.8012,-6.881,49.8644,-5.4144
1,14.9,-4.8158,-5.07908,-5.2064,-4.3745,-5.2806,-5.6115,-8.1162,-8.9011,-11.2738,-3.0254,-3.8646,-2.9007,-6.6803,48.73556,-5.1666
2,14.9,-4.6295,-5.07476,-5.1716,-4.36095,-5.25845,-5.583475,-7.970624999999999,-8.887525,-10.55585,-3.690025,-3.944625,-3.2262,-6.00575,47.60672,-5.26335
3,14.9,-4.4632,-5.07044,-5.1368,-4.3474,-5.2363,-5.55545,-7.825049999999999,-8.87395,-9.8379,-4.35465,-4.02465,-3.5517000000000003,-5.3312,46.47788,-5.3601
4,14.9,-4.4939,-5.06612,-5.102,-4.33385,-5.21415,-5.527425,-7.679475,-8.860375,-9.11995,-5.019275,-4.104675,-3.8772,-4.65665,45.34904,-5.45685
5,14.9,-4.6368,-5.0618,-5.0672,-4.3203,-5.192,-5.4994,-7.5339,-8.8468,-8.402,-5.6839,-4.1847,-4.2027,-3.9821,44.2202,-5.5536
6,14.9,-4.6241,-5.0654,-5.031,-4.2226,-5.0364,-5.4271,-7.1903,-8.6841,-8.0782,-5.682,-4.172,-4.2498,-4.398,43.1803,-6.3078
7,14.9,-4.8086,-4.9677,-5.2137,-4.3962,-5.2968,-5.6441,-8.1795,-9.0024,-11.357,-2.9983,-3.9043,-2.7071,-5.9226,41.76885,-4.7127
8,14.9,-4.644,-5.0292,-5.0726,-4.2895,-5.0997,-5.3909,-7.2898,-8.6298,-7.8034,-5.805,-4.1593,-4.5861,-3.5824,40.3574,-5.9153
9,14.8,-4.7435,-5.0834,-5.1793,-4.3872,-5.145816666666667,-5.6133,-7.9589,-8.9318,-10.6354,-3.6186,-4.0002,-3.2117,-5.626,50.0,-5.277
10,14.8,-4.6802,-5.0863000000000005,-5.201359999999999,-4.40312,-5.191933333333334,-5.635,-8.02292,-8.981,-10.6882,-3.6149799999999996,-4.01032,-3.19868,-5.49254,48.96448,-5.11062
11,14.8,-4.7832,-5.0892,-5.22342,-4.41904,-5.23805,-5.6567,-8.08694,-9.0302,-10.741,-3.61136,-4.02044,-3.18566,-5.3590800000000005,47.928960000000004,-4.94424
12,14.8,-4.8881,-5.0921,-5.24548,-4.43496,-5.284166666666667,-5.6784,-8.15096,-9.0794,-10.793800000000001,-3.6077399999999997,-4.03056,-3.17264,-5.22562,46.89344,-4.77786
13,14.8,-4.9153,-5.095,-5.26754,-4.45088,-5.330283333333334,-5.7001,-8.21498,-9.1286,-10.8466,-3.60412,-4.04068,-3.15962,-5.092160000000001,45.85792,-4.61148
14,14.8,-4.9044,-5.0979,-5.2896,-4.4668,-5.3764,-5.7218,-8.279,-9.1778,-10.8994,-3.6005,-4.0508,-3.1466,-4.9587,44.8224,-4.4451
