,振动风选_1#振动X,振动风选_1#振动Y,振动风选_1#振动Z,振动风选_2#振动X,振动风选_2#振动Y,振动风选_2#振动Z,振动风选_3#振动X,振动风选_3#振动Y,振动风选_3#振动Z,振动风选_4#振动X,振动风选_4#振动Y,振动风选_4#振动Z,振动风选_5#振动X,振动风选_5#振动Y,振动风选_5#振动Z
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.003049999999999997,0.00026999999999999247,0.0006812499999999666,0.001587499999999964,0.000787499999999941,0.0006812499999999666,0.0014687499999999076,0.007912499999999989,-0.00441249999999993,0.004300000000000026,0.004293750000000041,-0.006218749999999995,0.012543749999999965,-0.07055250000000068,0.015487499999999987
2,0.005788888888888918,0.0017999999999999496,0.007197222222222077,0.009266666666666534,0.0063111111111108596,0.006444444444444178,0.023355555555555352,0.040191666666666556,0.05820000000000025,-0.05282499999999983,0.012100000000000222,-0.06656944444444438,0.13627499999999992,-0.47035000000000216,0.06496666666666653
3,0.08539600694444457,0.006029999999999997,0.031106423611110767,0.027574739583333008,0.02393758680555498,0.02660151909722132,0.11397348090277787,0.10155872395833285,0.4257851562500006,-0.3916433593749996,-0.0029980468749995215,-0.289159722222222,0.59522109375,-1.5756725000000031,0.11678567708333298
4,0.2764198194444447,0.01440000000000024,0.08584948611111035,0.06011577083333264,0.061785743055554426,0.07181300347222037,0.33124899652777834,0.18783417708333205,1.3983889375000012,-1.2901806562499996,-0.07912928124999935,-0.7998947222222219,1.6507250625000003,-3.7628000000000044,0.11215939583333276
5,0.5311356111111114,0.028350000000000607,0.18387452777777624,0.11098591666666568,0.12757780555555345,0.15202826388888627,0.7280390694444451,0.29953220833333105,3.2433105833333356,-2.996004958333333,-0.24824637499999924,-1.7152943055555554,3.5444520000000006,-7.408012500000007,0.006611083333332435
6,0.7765474265873018,0.04786530612245003,0.33750846060090467,0.19992504719387674,0.25339604322562004,0.28505771223072274,1.3916400972930845,0.4663465482567995,6.142971295493201,-5.622650890518707,-0.5229164866071421,-3.0971659467120185,6.310278983418368,-12.871254081632664,-0.35963772406462713
7,0.9585953618551588,0.08965689572704225,0.5174709127692714,0.3231361122448975,0.43651012166949577,0.44810072084041674,2.219929231540533,0.6769086895195536,9.451748607355446,-8.540660353210034,-0.8345955044642852,-4.607687773880386,9.399557897640307,-20.55367208625639,-0.915233730123301
8,1.0551091051036154,0.17388648057602835,0.6813980928287946,0.44492865137629084,0.6310765670508873,0.6136199785840235,3.031453615772234,0.9019817182067222,12.563271470836487,-11.192588482205846,-1.1185239033840388,-5.996961041902872,12.528112520793966,-30.978557181535827,-1.3770430953404533
9,1.0931761938381834,0.2755445031730302,0.8314985273526037,0.5542828105473663,0.8529562262219617,0.7947182569129477,3.855519007196395,1.1639046345427007,15.722428382432607,-13.786404401628245,-1.3976436425815704,-7.460574856056311,15.912537667509135,-42.47819653388372,-1.801718055547685
10,1.0894974715585695,0.3561037230421762,0.9507999870633475,0.6319164172966769,1.108737664238489,0.9443329347710746,4.583364630302455,1.3976022331997247,18.471733320104782,-16.007302185546976,-1.6616576036697255,-8.800826119486063,19.17165525342511,-51.40438960903868,-2.144640395595895
11,1.0353982544346794,0.4061630398780129,1.008680131568464,0.6530662135000521,1.3542186995373633,1.0082283038569555,5.052977875101637,1.5145671512110053,20.262674120451322,-17.464838474846903,-1.8866471494590589,-9.746481860008167,21.98858692049489,-56.853795605888266,-2.1833215140381643
12,0.8861561425957529,0.42809153641041553,0.9961540250868053,0.613159947680757,1.5520219532103265,0.9815593420673212,5.250990273146077,1.491561707749551,21.202227657023368,-18.276799596394515,-2.0874096327765788,-10.349038344730708,24.547001517276755,-60.25389850866992,-1.8247940249972017
13,0.582776561733621,0.42351717626163543,0.904578270738133,0.5074503630209111,1.6695863713174004,0.8589345794878686,5.1622050924613765,1.306817062497824,21.369737702856654,-18.5346228580573,-2.2762170329142166,-10.647608495925667,26.99980496897272,-62.79364520912091,-0.9842500863980264
14,0.11410986723797206,0.39353174630303533,0.7255606576072176,0.33106590308534395,1.677849550847524,0.6345702982895707,4.77011407638486,0.9396368614151753,20.82454760354591,-18.310665642458744,-2.4635118090035384,-10.672341961182632,29.477615966865372,-65.489032514673,0.41718105873891287
15,-0.45867858394438016,0.35377082375914337,0.5081939717800248,0.13143163609640138,1.5906768842020287,0.32781639502884286,4.172253357796228,0.39365957709164245,20.206094477026447,-18.10260371816595,-2.6887397891127676,-10.698747253174059,32.57103376491223,-72.81151968631278,2.4408306827283486
16,-1.0413395920241872,0.3258903707139542,0.3303541038415462,-0.01598111492485657,1.486842959170988,0.03408872140787267,3.702103806972521,-0.21131581478956896,20.800660983963745,-18.876221827579094,-3.030310337614321,-11.277317167776175,36.99193018526487,-89.72044894566147,4.6880510053364635
17,-1.6039979423826505,0.30003146378616036,0.19344968866616652,-0.12088082383312618,1.423617721330606,-0.15737918856984254,3.6633633760200195,-0.7256217573319003,23.265769088724728,-21.1379851589678,-3.5309071194508026,-12.737611044815736,42.390506899392136,-113.0910751605307,6.2946526005760415
18,-2.20033548981444,0.23914054849137467,0.04288604695796047,-0.2465237122204503,1.3564478957744026,-0.30025792695565856,3.910395916744021,-1.1977845692314784,26.840777819125172,-24.33695911198269,-4.142295087408417,-14.800399382286589,48.01890548649423,-137.15968245245676,7.317328733187164
